age,Graduated,marital,Profession,defaulter,loan,CustGender,state,TransactionAmount (INR),CustAccountBalance,Annual Income,Spending Score (1-100),Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Atm Used PM,Credit Card PM,credit card repayment in days,Credit_Limit,Work_Experience,Spending_Score,Family_Size
56,No,married,Healthcare,no,no,F,Washington,25,17819.05,51,31,own,NA,little,1169,6,Home Appliances,0,2,14,12691,1,Low,4
57,Yes,married,Engineer,unknown,no,M,Washington,27999,2270.69,100,61,own,little,moderate,5951,48,Home Appliances,5,2,93,8256,,Average,3
37,Yes,married,Engineer,no,no,F,Washington,459,17874.44,84,70,own,little,NA,2096,12,education,0,3,16,3418,1,Low,1
40,Yes,married,Lawyer,no,no,F,Illinois,2060,866503.21,125,77,free,little,little,7882,42,Home loan,3,3,76,3313,0,High,2
56,Yes,married,Entertainment,no,yes,F,Washington,1762.5,6714.43,131,80,free,little,little,4870,24,car,3,3,56,4716,,High,6
45,No,married,Artist,unknown,no,F,California,676,53609.2,105,53,free,NA,NA,9055,36,education,3,1,11,4010,0,Average,2
59,Yes,married,Healthcare,no,no,F,Illinois,566,973.46,106,64,own,quite rich,NA,2835,24,Home loan,5,0,45,34516,1,Low,3
41,Yes,married,Healthcare,unknown,no,M,Washington,148,95075.54,72,67,rent,little,moderate,6948,36,car,7,0,43,29081,1,Low,3
24,Yes,single,Engineer,no,no,F,Arizona,833,14906.96,105,80,own,rich,NA,3059,12,Home Appliances,6,7,91,22352,0,Low,3
25,Yes,single,Artist,no,no,M,California,289.11,4279.22,124,87,own,little,moderate,5234,30,car,4,0,37,11656,1,Average,4
41,Yes,married,Engineer,unknown,no,M,California,259,48429.49,105,67,rent,little,moderate,1295,12,car,6,2,88,6748,1,Low,3
25,No,single,Healthcare,no,no,M,Illinois,202,14613.46,62,22,rent,little,little,4308,48,business,2,2,48,9095,4,Low,4
29,No,single,Executive,no,yes,M,Washington,12300,32274.78,76,28,own,little,moderate,1567,12,Home Appliances,2,2,51,11751,0,Low,
57,No,divorced,Lawyer,no,no,F,Arizona,50,59950.44,70,9,own,little,little,1199,24,car,5,0,29,8547,,Low,1
35,No,married,Doctor,no,no,M,California,338,10100.84,67,23,rent,little,little,1403,15,car,3,2,40,2436,0,Low,1
54,No,married,Healthcare,unknown,yes,F,California,250,1283.12,61,45,own,moderate,little,1282,24,Home Appliances,4,2,82,4234,1,Low,2
35,No,married,Homemaker,no,no,M,Illinois,1423.11,77495.15,62,37,own,NA,NA,2424,24,Home Appliances,7,0,67,30367,9,Low,5
46,No,married,Healthcare,unknown,yes,M,Washington,54,2177.85,57,44,own,NA,little,8072,30,business,5,0,99,13535,1,Low,6
50,Yes,married,Entertainment,no,yes,M,Arizona,315,32816.17,120,74,free,little,moderate,12579,24,car,6,3,29,3193,1,Average,4
39,Yes,single,Artist,unknown,no,M,California,945,10643.5,122,87,own,quite rich,NA,3430,24,Home Appliances,3,7,58,14470,0,High,1
30,Yes,married,Homemaker,no,no,M,California,36,2934.22,82,52,own,little,NA,2134,9,car,6,3,82,20979,12,Low,1
55,No,married,Healthcare,unknown,no,F,Illinois,27,4470.15,57,48,rent,quite rich,little,2647,6,Home Appliances,1,2,49,1438.3,3,Low,4
55,Yes,single,Artist,no,no,M,Washington,110,143.07,103,62,rent,little,little,2241,10,car,4,3,83,4470,13,Low,2
41,Yes,single,Artist,no,no,M,Arizona,291,12868.42,100,80,own,moderate,moderate,1804,12,car,5,7,39,2492,5,Low,2
37,No,married,Executive,no,no,F,California,1892,2951.1,98,50,own,NA,NA,2069,10,Home loan,5,3,34,12217,1,Average,3
35,No,married,Artist,no,yes,M,California,242,3297.74,105,49,own,little,little,1374,6,Home loan,3,3,64,7768,1,Average,3
59,No,married,Healthcare,no,no,M,Illinois,5500,285.76,65,32,own,little,NA,426,6,Home Appliances,7,2,80,14784,9,Low,8
39,Yes,married,Artist,unknown,no,M,Washington,2235,20986.66,112,69,rent,rich,rich,409,12,Home Appliances,4,7,24,10215,1,Average,3
54,Yes,single,Artist,unknown,no,M,Arizona,36.9,969436.12,95,63,own,little,moderate,2415,7,Home Appliances,4,2,94,10100,0,Low,1
55,No,married,Artist,unknown,unknown,M,California,2600,,59,31,own,little,little,6836,60,business,3,1,70,4785,5,Low,4
46,Yes,married,Artist,no,no,F,California,500,298461.05,94,69,own,rich,moderate,1913,18,business,2,1,47,2753,0,Low,3
59,No,married,Doctor,no,no,F,Illinois,10,6384.54,77,47,own,little,little,4020,24,Home loan,2,0,91,2451,1,Low,2
49,No,married,Healthcare,no,no,F,Washington,760,57791.69,64,50,own,moderate,moderate,5866,18,car,2,2,71,8923,1,Low,3
54,No,married,Homemaker,unknown,no,F,Arizona,6800,123781.9,64,28,rent,NA,NA,1264,12,business,4,1,65,2650,9,Low,
54,No,divorced,Lawyer,no,no,M,California,110,39.73,113,68,own,little,rich,1474,12,Home loan,4,0,60,12555,1,High,2
55,Yes,married,Healthcare,unknown,no,M,California,1075,11791.25,75,59,own,little,moderate,4746,45,Home Appliances,3,0,96,3520,3,Low,4
34,No,married,Doctor,no,no,F,California,1081,213.06,68,24,free,little,NA,6110,48,education,4,3,88,3035,5,Low,1
52,No,married,Healthcare,no,no,F,Illinois,2999,44627.73,97,45,own,little,rich,2100,18,Home Appliances,0,1,70,15433,1,Average,5
41,Yes,married,Artist,no,no,M,Washington,1350,113238.74,88,65,own,little,rich,1225,10,domestic appliances,6,0,25,3672,8,Low,2
56,Yes,married,Artist,no,no,M,Arizona,683,2477.42,109,73,own,little,moderate,458,9,Home Appliances,6,3,0,7882,,Average,2
58,Yes,unknown,Artist,no,no,M,California,50,58406.7,95,71,own,quite rich,NA,2333,30,Home Appliances,4,7,12,32426,4,Low,1
32,No,married,Healthcare,no,no,M,California,12,5810.82,61,50,own,quite rich,moderate,1158,12,Home Appliances,7,4,22,6205,0,Low,2
38,Yes,single,Artist,no,no,F,California,179,12545.18,105,61,own,little,moderate,6204,18,repairs,4,2,79,17304,14,Low,3
57,Yes,married,Artist,no,yes,M,Illinois,421.8,10630.88,88,63,rent,moderate,little,6187,30,car,5,7,6,3906,1,Low,2
44,No,married,Engineer,unknown,no,M,Massachusetts,900,282455.64,68,32,free,little,little,6143,48,car,7,3,61,9830,8,Low,1
42,No,single,Lawyer,unknown,no,M,Washington,90,1589.43,124,66,own,little,NA,1393,11,car,3,0,1,34516,,High,2
57,Yes,married,Artist,no,yes,M,Arizona,13846,5055.18,94,67,own,quite rich,NA,2299,36,Home Appliances,8,6,56,2283,0,Average,4
40,Yes,married,Healthcare,no,yes,M,California,59.47,25222.91,87,53,rent,quite rich,little,1352,6,car,7,5,5,2548,,Low,1
35,No,married,Healthcare,no,no,M,California,55,2162.36,62,27,own,little,NA,7228,11,car,4,2,69,19458,0,Low,4
45,Yes,married,Engineer,no,no,M,California,27990,22525.66,80,58,own,moderate,NA,2073,12,Home Appliances,9,6,81,4745,1,Low,1
54,No,married,Artist,no,no,F,California,1388,298357.41,101,52,own,NA,moderate,2333,24,Home loan,3,2,19,2622,1,Average,2
39,Yes,married,Artist,no,yes,M,Illinois,145,9956.49,95,68,own,little,moderate,5965,27,car,7,3,33,1438.3,1,Average,2
60,Yes,married,Artist,no,no,M,Massachusetts,519,2058.42,84,60,own,little,NA,1262,12,Home Appliances,3,0,64,3171,1,Low,1
53,Yes,single,Entertainment,no,no,F,Washington,100,8842.13,130,72,own,NA,NA,3378,18,car,1,3,17,19763,0,Average,2
55,No,married,Marketing,unknown,no,M,Arizona,150,196.83,55,42,free,little,moderate,2225,36,car,4,3,42,15769,1,Low,1
55,Yes,married,Artist,unknown,no,M,California,107,17070.89,112,69,own,NA,NA,783,6,car,5,2,11,3298,14,Average,2
