age,Graduated,marital,Profession,defaulter,loan,CustGender,state,Transaction mount,CustAccountBalance,Annual Income,Spending Score (1-100),Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Atm Used PM,Credit Card PM,credit card repayment in days,Credit_Limit,Work_Experience,Spending_Score,Family_Size
56,No,married,Healthcare,no,no,F,Washington,44,17819.05,51,31,own,NA,little,1169,6,Home Appliances,0,2,14,3760,2,Low,5
57,Yes,married,Engineer,unknown,no,M,Washington,84,2270.69,100,61,own,little,moderate,5951,48,Home Appliances,5,2,93,6931,,Average,5
37,Yes,married,Engineer,no,no,F,Washington,74,17874.44,84,70,own,little,NA,2096,12,education,0,3,16,19457,6,Low,4
40,Yes,married,Lawyer,no,no,F,Illinois,106,866503.21,125,77,free,little,little,7882,42,Home loan,3,3,76,24003,11,High,2
56,Yes,married,Entertainment,no,yes,F,Washington,117,6714.43,131,80,free,little,little,4870,24,car,3,3,56,30667,,High,2
45,No,married,Artist,unknown,no,F,California,80,53609.2,105,53,free,NA,NA,9055,36,education,3,1,11,21278,11,Average,6
59,Yes,married,Healthcare,no,no,F,Illinois,52,973.46,106,64,own,quite rich,NA,2835,24,Home loan,5,0,45,20337,10,Low,5
41,Yes,married,Healthcare,unknown,no,M,Washington,72,95075.54,72,67,rent,little,moderate,6948,36,car,7,0,43,3727,8,Low,4
24,Yes,single,Engineer,no,no,F,Arizona,74,14906.96,105,80,own,rich,NA,3059,12,Home Appliances,6,7,91,24378,13,Low,1
25,Yes,single,Artist,no,no,M,California,108,4279.22,124,87,own,little,moderate,5234,30,car,4,0,37,22743,12,Average,1
41,Yes,married,Engineer,unknown,no,M,California,53,48429.49,105,67,rent,little,moderate,1295,12,car,6,2,88,22645,10,Low,2
25,No,single,Healthcare,no,no,M,Illinois,47,14613.46,62,22,rent,little,little,4308,48,business,2,2,48,2303,2,Low,1
29,No,single,Executive,no,yes,M,Washington,31,32274.78,76,28,own,little,moderate,1567,12,Home Appliances,2,2,51,17082,10,Low,2
57,No,divorced,Lawyer,no,no,F,Arizona,32,59950.44,70,9,own,little,little,1199,24,car,5,0,29,4284,,Low,3
35,No,married,Doctor,no,no,M,California,38,10100.84,67,23,rent,little,little,1403,15,car,3,2,40,3837,1,Low,4
54,No,married,Healthcare,unknown,yes,F,California,59,1283.12,61,45,own,moderate,little,1282,24,Home Appliances,4,2,82,1750,2,Low,2
35,No,married,Homemaker,no,no,M,Illinois,47,77495.15,62,37,own,NA,NA,2424,24,Home Appliances,7,0,67,3804,4,Low,2
46,No,married,Healthcare,unknown,yes,M,Washington,33,2177.85,57,44,own,NA,little,8072,30,business,5,0,99,3355,5,Low,2
50,Yes,married,Entertainment,no,yes,M,Arizona,94,32816.17,120,74,free,little,moderate,12579,24,car,6,3,29,24136,12,Average,2
39,Yes,single,Artist,unknown,no,M,California,116,10643.5,122,87,own,quite rich,NA,3430,24,Home Appliances,3,7,58,20093,13,High,1
30,Yes,married,Homemaker,no,no,M,California,69,2934.22,82,52,own,little,NA,2134,9,car,6,3,82,11097,8,Low,6
55,No,married,Healthcare,unknown,no,F,Illinois,32,4470.15,57,48,rent,quite rich,little,2647,6,Home Appliances,1,2,49,3299,4,Low,5
55,Yes,single,Artist,no,no,M,Washington,87,143.07,103,62,rent,little,little,2241,10,car,4,3,83,20968,11,Low,2
41,Yes,single,Artist,no,no,M,Arizona,86,12868.42,100,80,own,moderate,moderate,1804,12,car,5,7,39,18176,10,Low,2
37,No,married,Executive,no,no,F,California,72,2951.1,98,50,own,NA,NA,2069,10,Home loan,5,3,34,9680,13,Average,4
35,No,married,Artist,no,yes,M,California,80,3297.74,105,49,own,little,little,1374,6,Home loan,3,3,64,22949,11,Average,2
